Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Disease_PPR,Disease_Anthrax,Disease_FootRot,Disease_Enterotoxemia,Disease_Parasites,Disease_CaprineArthritisEncephalitis,Disease_CaseousLymphadenitis,Disease_Anemia,Disease_Leukemia,Disease_ViralInfection,Disease_BloodParasites,Disease_BacterialInfection,Disease_AvianLeukosis,Disease_DuckViralDiseases,Disease_Colic,Disease_Strangles,Disease_EquineInfluenza,Disease_Laminitis,Disease_Rabies,Disease_EquineAnemia,Disease_EquineInfectiousAnemia,Disease_Bluetongue,Disease_Scrapie,Disease_OvineJohnesDisease,Disease_SheepPox,Disease_FungalInfection,Disease_Scurvy,Disease_Myxomatosis,Disease_HemorrhagicDisease,Disease_FelineLeukemia,Disease_Ringworm,Disease_FIV,Disease_KidneyDisease,Disease_Hyperthyroidism,Disease_Diabetes,Disease_AvianInfluenza,Disease_NewcastleDisease,Disease_MareksDisease,Disease_Coccidiosis,Disease_FowlPox,Disease_FowlCholera,Disease_Mastitis,Disease_FootMouth,Disease_BovineTB,Disease_Anaplasmosis,Disease_Brucellosis,Disease_LumpySkinDisease,Disease_BovineViralDiarrhea,Disease_Parvovirus,Disease_Distemper,Disease_Heartworm,Disease_SkinInfection,Disease_Leptospirosis,Disease_LymeDisease,Disease_VarroaInfection,Disease_SwineFlu,Disease_AfricanSwineFever,Disease_EColi,Disease_PRRS,Disease_PorcineCircovirus,Disease_Erysipelas,Disease_Trypanosomiasis,Disease_HemorrhagicSepticemia,Disease_WetTail,Disease_RespiratoryInfection,Disease_Tuberculosis,Disease_DuckViralEnteritis,Disease_DuckHepatitis,Disease_BlackheadDisease,Disease_Salmonellosis
Goat,9,Male,Breed1,11309.65,4.07,14.85,159922.26,80.17,48.43,33.51,23.57,1.77,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,20,Female,Breed2,12632.06,5.43,17.76,275429.67,64.5,18.31,15.69,20.15,1.98,1,0,0,1,1,1,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,7,Female,Breed1,14801.22,7.52,17.86,277542.42,89.51,47.46,44.33,26.38,0.55,1,0,0,0,1,0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,4,Male,Breed1,8121.27,4.32,14.22,169530.08,102.09,44.72,49.31,32.15,1.47,1,0,1,0,0,0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse,13,Female,Breed2,5868.7,4.79,16.76,246184.67,82.72,40.81,28.31,39.36,1.93,1,1,0,0,1,0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,13,Female,Breed2,13382.26,7.91,10.68,425190.02,96.88,18.38,14.62,29.08,1.65,1,0,0,0,0,1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,10,Male,Breed2,7492.13,7.39,14.25,225089.04,94.15,18.66,33.32,42.72,0.98,0,1,1,0,1,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,18,Female,Breed4,10580.22,7.65,15.43,320747.95,77.68,20.37,32.96,42.75,0.67,1,1,0,1,1,0,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat,17,Male,Breed4,8288.84,4.57,14.52,296364.59,89.21,42.42,15.33,10.07,1.5,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,20,Female,Breed2,8425.59,4.85,11.85,408637.73,64.14,17.51,35.88,41.66,1.49,1,1,0,1,1,0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
